INCP Arts and Media Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Braidwood,0,4,4,5,0,7,7,0,5,0,5,0,0,0,37,954.0540541,954,"$800-$999 ($41,600-$51,999)"
Karabar,0,0,0,0,0,0,0,0,3,0,3,5,0,0,11,1909.090909,1909,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan,0,0,6,0,0,0,6,10,3,3,0,0,4,0,32,1273.4375,1273,"$1,250-$1,499 ($65,000-$77,999)"
Queanbeyan - East,0,0,0,0,0,0,4,4,0,0,0,0,0,0,8,1012.5,1012,"$1,000-$1,249 ($52,000-$64,999)"
Queanbeyan West - Jerrabomberra,0,0,0,0,3,3,5,3,3,0,5,8,0,0,30,1446.666667,1446,"$1,250-$1,499 ($65,000-$77,999)"
Googong,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Queanbeyan Surrounds,0,7,3,3,8,4,3,5,4,6,13,3,0,0,59,1240.254237,1240,"$1,000-$1,249 ($52,000-$64,999)"
Bombala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooma Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jindabyne - Berridale,0,0,0,0,0,4,9,12,9,3,8,4,0,4,53,1570.754717,1570,"$1,500-$1,749 ($78,000-$90,999)"
Batemans Bay,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,900,900,"$800-$999 ($41,600-$51,999)"
Batemans Bay - South,0,0,0,3,3,4,0,0,0,5,0,0,0,0,15,940,940,"$800-$999 ($41,600-$51,999)"
Bega - Tathra,0,5,7,3,0,9,0,10,6,7,0,0,0,0,47,900.5319149,900,"$800-$999 ($41,600-$51,999)"
Bega-Eden Hinterland,3,3,3,4,7,0,8,5,0,0,0,0,0,0,33,624.2424242,624,"$500-$649 ($26,000-$33,799)"
Broulee - Tomakin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,725,725,"$650-$799 ($33,800-$41,599)"
Eurobodalla Hinterland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merimbula - Tura Beach,0,3,0,3,6,5,6,4,6,5,3,0,0,0,41,1045.731707,1045,"$1,000-$1,249 ($52,000-$64,999)"
Moruya - Tuross Head,0,0,0,6,0,3,4,4,0,0,0,0,0,4,21,1284.52381,1284,"$1,250-$1,499 ($65,000-$77,999)"
