INCP Business Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Braidwood,0,0,0,0,5,0,5,8,5,5,15,17,0,17,77,2081.168831,2081,"$2,000-$2,999 ($104,000-$155,999)"
Karabar,0,3,0,0,0,0,4,16,36,46,43,56,10,16,230,1945.76087,1945,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan,0,0,0,0,3,6,12,28,47,51,39,104,14,22,326,1873.849693,1873,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan - East,0,0,0,0,0,5,5,16,21,35,24,46,9,12,173,1903.901734,1903,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan West - Jerrabomberra,0,0,0,6,10,8,18,31,68,81,84,171,46,99,622,2117.483923,2117,"$2,000-$2,999 ($104,000-$155,999)"
Googong,0,0,0,0,0,3,8,15,30,49,58,90,18,30,301,2074.335548,2074,"$2,000-$2,999 ($104,000-$155,999)"
Queanbeyan Surrounds,0,0,0,0,4,3,19,32,38,84,71,152,37,103,543,2190.745856,2190,"$2,000-$2,999 ($104,000-$155,999)"
Bombala,0,0,0,0,0,0,0,0,7,0,0,3,0,0,10,1525,1525,"$1,500-$1,749 ($78,000-$90,999)"
Cooma,0,8,0,3,4,3,12,8,11,3,12,17,3,6,90,1556.111111,1556,"$1,500-$1,749 ($78,000-$90,999)"
Cooma Surrounds,0,0,0,0,0,0,0,6,10,4,5,12,3,5,45,1983.333333,1983,"$1,750-$1,999 ($91,000-$103,999)"
Jindabyne - Berridale,0,0,3,3,5,10,16,21,28,36,33,73,20,74,322,2145.729814,2145,"$2,000-$2,999 ($104,000-$155,999)"
Batemans Bay,0,0,0,0,0,0,8,8,5,8,9,15,3,0,56,1722.321429,1722,"$1,500-$1,749 ($78,000-$90,999)"
Batemans Bay - South,0,0,0,0,0,3,18,11,15,20,4,20,4,9,104,1691.105769,1691,"$1,500-$1,749 ($78,000-$90,999)"
Bega - Tathra,0,0,6,0,4,6,10,19,16,12,4,12,3,0,92,1335.597826,1335,"$1,250-$1,499 ($65,000-$77,999)"
Bega-Eden Hinterland,0,3,5,0,3,3,9,15,8,8,3,14,3,3,77,1419.480519,1419,"$1,250-$1,499 ($65,000-$77,999)"
Broulee - Tomakin,0,0,0,0,3,4,4,14,10,7,7,11,6,5,71,1749.647887,1749,"$1,500-$1,749 ($78,000-$90,999)"
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,5,0,4,0,0,3,4,0,0,3,0,0,19,976.3157895,976,"$800-$999 ($41,600-$51,999)"
Eurobodalla Hinterland,0,0,0,0,0,0,4,6,10,0,6,4,4,5,39,1976.923077,1976,"$1,750-$1,999 ($91,000-$103,999)"
Merimbula - Tura Beach,0,0,3,0,9,10,10,20,15,19,14,37,11,12,160,1741.25,1741,"$1,500-$1,749 ($78,000-$90,999)"
Moruya - Tuross Head,0,0,0,5,3,4,6,12,9,17,6,13,0,10,85,1648.823529,1648,"$1,500-$1,749 ($78,000-$90,999)"
Narooma - Bermagui,0,0,0,6,6,7,6,20,9,13,3,16,0,3,89,1355.337079,1355,"$1,250-$1,499 ($65,000-$77,999)"
Goulburn,0,0,0,7,4,26,37,42,36,38,20,50,7,20,287,1577.003484,1577,"$1,500-$1,749 ($78,000-$90,999)"
Goulburn Surrounds,0,0,4,3,8,5,8,22,21,19,20,28,9,31,178,1926.544944,1926,"$1,750-$1,999 ($91,000-$103,999)"
Yass,0,0,0,0,0,7,3,14,15,22,27,50,6,4,148,1855.743243,1855,"$1,750-$1,999 ($91,000-$103,999)"
Yass Surrounds,0,0,0,0,6,5,12,25,32,46,61,132,35,78,432,2202.546296,2202,"$2,000-$2,999 ($104,000-$155,999)"
Young,0,0,0,0,0,4,15,25,23,10,8,16,6,8,115,1651.304348,1651,"$1,500-$1,749 ($78,000-$90,999)"
Young Surrounds,0,5,0,0,4,4,5,4,8,10,9,7,0,11,67,1741.791045,1741,"$1,500-$1,749 ($78,000-$90,999)"
Avoca Beach - Copacabana,0,0,0,3,8,11,5,17,23,29,20,49,14,65,244,2176.946721,2176,"$2,000-$2,999 ($104,000-$155,999)"
Box Head - MacMasters Beach,0,0,3,0,3,3,11,19,37,27,29,62,23,55,272,2157.996324,2157,"$2,000-$2,999 ($104,000-$155,999)"
Calga - Kulnura,0,0,0,0,5,5,4,11,0,10,7,18,6,13,79,1961.708861,1961,"$1,750-$1,999 ($91,000-$103,999)"
Erina - Green Point,3,3,0,7,4,16,10,32,22,43,39,71,31,56,337,2048.813056,2048,"$2,000-$2,999 ($104,000-$155,999)"
Gosford - Springfield,0,3,5,3,19,17,37,72,53,63,68,115,24,38,517,1766.344294,1766,"$1,750-$1,999 ($91,000-$103,999)"
Kariong,0,0,0,5,0,8,9,19,12,24,20,27,11,6,141,1775.886525,1775,"$1,750-$1,999 ($91,000-$103,999)"
Kincumber - Picketts Valley,0,0,0,6,4,4,7,12,14,15,13,29,5,10,119,1760.084034,1760,"$1,750-$1,999 ($91,000-$103,999)"
Narara,0,0,0,0,3,4,5,20,31,8,16,57,10,10,164,1839.176829,1839,"$1,750-$1,999 ($91,000-$103,999)"
Niagara Park - Lisarow,0,0,6,4,3,3,6,22,24,21,27,67,11,19,213,1880.046948,1880,"$1,750-$1,999 ($91,000-$103,999)"
Point Clare - Koolewong,5,0,5,4,4,3,13,12,17,34,19,55,16,25,212,1897.877358,1897,"$1,750-$1,999 ($91,000-$103,999)"
