"INCP Design, Engineering, Science and Transport Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Braidwood,0,0,4,0,0,0,3,0,3,10,7,17,0,11,55,2042.727273,2042,"$2,000-$2,999 ($104,000-$155,999)"
Karabar,0,0,0,0,0,0,0,5,3,17,9,18,0,0,52,1800.480769,1800,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan,0,0,0,4,3,3,7,15,19,21,23,37,4,6,142,1760.56338,1760,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan - East,0,0,0,0,0,0,0,8,10,15,9,21,3,5,71,1919.014085,1919,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan West - Jerrabomberra,6,0,0,0,0,0,6,7,5,13,20,63,25,22,167,2204.191617,2204,"$2,000-$2,999 ($104,000-$155,999)"
Googong,0,0,0,0,0,0,8,0,6,12,8,36,15,10,95,2170.526316,2170,"$2,000-$2,999 ($104,000-$155,999)"
Queanbeyan Surrounds,3,5,3,4,3,7,4,10,17,42,25,76,26,42,267,2074.812734,2074,"$2,000-$2,999 ($104,000-$155,999)"
Bombala,0,0,0,0,0,0,0,0,4,0,3,0,4,0,11,2363.636364,2363,"$2,000-$2,999 ($104,000-$155,999)"
Cooma,0,0,0,0,0,0,0,5,12,11,14,60,26,14,142,2260.56338,2260,"$2,000-$2,999 ($104,000-$155,999)"
Cooma Surrounds,0,0,0,0,0,0,0,7,10,8,11,25,4,7,72,2034.722222,2034,"$2,000-$2,999 ($104,000-$155,999)"
Jindabyne - Berridale,0,3,6,3,9,7,8,17,7,29,21,72,14,24,220,1883.863636,1883,"$1,750-$1,999 ($91,000-$103,999)"
Batemans Bay,0,7,0,0,0,6,0,5,3,9,0,14,5,6,55,1705.454545,1705,"$1,500-$1,749 ($78,000-$90,999)"
Batemans Bay - South,0,0,0,6,0,0,8,9,9,13,6,10,3,4,68,1632.720588,1632,"$1,500-$1,749 ($78,000-$90,999)"
Bega - Tathra,0,0,0,0,3,6,0,13,8,18,14,11,4,3,80,1750.9375,1750,"$1,750-$1,999 ($91,000-$103,999)"
Bega-Eden Hinterland,0,4,0,3,12,6,10,8,10,15,12,17,4,3,104,1490.384615,1490,"$1,250-$1,499 ($65,000-$77,999)"
Broulee - Tomakin,0,0,0,0,0,0,4,3,6,9,0,6,0,6,34,1826.470588,1826,"$1,750-$1,999 ($91,000-$103,999)"
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,0,0,0,0,0,6,3,0,0,5,4,0,18,1847.222222,1847,"$1,750-$1,999 ($91,000-$103,999)"
Eurobodalla Hinterland,0,0,5,0,0,6,0,3,4,0,5,5,4,4,36,1773.611111,1773,"$1,750-$1,999 ($91,000-$103,999)"
Merimbula - Tura Beach,0,0,0,0,0,3,8,11,6,3,13,22,5,5,76,1873.355263,1873,"$1,750-$1,999 ($91,000-$103,999)"
Moruya - Tuross Head,0,0,0,0,0,6,5,13,12,10,7,18,3,0,74,1584.121622,1584,"$1,500-$1,749 ($78,000-$90,999)"
Narooma - Bermagui,0,0,6,5,4,4,3,6,8,10,8,13,3,5,75,1571.666667,1571,"$1,500-$1,749 ($78,000-$90,999)"
Goulburn,0,0,0,4,6,4,5,15,17,25,17,33,7,9,142,1775.704225,1775,"$1,750-$1,999 ($91,000-$103,999)"
Goulburn Surrounds,0,6,3,4,0,3,11,6,7,13,6,26,13,10,108,1803.472222,1803,"$1,750-$1,999 ($91,000-$103,999)"
Yass,3,0,0,0,0,8,3,7,7,12,3,29,0,0,72,1494.444444,1494,"$1,250-$1,499 ($65,000-$77,999)"
Yass Surrounds,0,7,4,6,4,8,11,9,12,26,23,54,15,16,195,1825.897436,1825,"$1,750-$1,999 ($91,000-$103,999)"
Young,3,0,0,0,0,5,0,8,7,8,4,9,0,3,47,1550,1550,"$1,500-$1,749 ($78,000-$90,999)"
Young Surrounds,0,0,0,0,0,3,4,6,6,7,9,10,3,7,55,1957.272727,1957,"$1,750-$1,999 ($91,000-$103,999)"
Avoca Beach - Copacabana,0,5,5,0,7,5,0,15,12,15,9,31,8,18,130,1830,1830,"$1,750-$1,999 ($91,000-$103,999)"
