INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Braidwood,0,0,0,0,0,0,10,4,6,0,6,15,5,6,52,1963.942308,1963,"$1,750-$1,999 ($91,000-$103,999)"
Karabar,0,0,0,0,4,7,9,9,11,13,15,19,0,9,96,1734.114583,1734,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan,0,0,0,4,6,7,18,30,40,34,27,36,0,10,212,1606.25,1606,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan - East,0,0,3,0,0,4,3,11,15,19,21,22,0,5,103,1764.805825,1764,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan West - Jerrabomberra,5,0,0,0,3,6,7,17,29,32,36,55,8,22,220,1908.522727,1908,"$1,750-$1,999 ($91,000-$103,999)"
Googong,0,0,0,4,0,6,5,25,21,30,33,63,3,5,195,1765.512821,1765,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan Surrounds,0,0,0,3,4,10,24,37,26,40,36,52,21,29,282,1886.968085,1886,"$1,750-$1,999 ($91,000-$103,999)"
Bombala,0,0,0,0,0,3,0,10,6,5,3,6,0,0,33,1471.212121,1471,"$1,250-$1,499 ($65,000-$77,999)"
Cooma,0,0,0,4,0,11,6,15,19,15,12,21,4,16,123,1796.138211,1796,"$1,750-$1,999 ($91,000-$103,999)"
Cooma Surrounds,0,0,0,0,4,4,0,10,6,6,4,4,6,5,49,1815.306122,1815,"$1,750-$1,999 ($91,000-$103,999)"
Jindabyne - Berridale,6,0,0,0,6,6,15,16,31,43,25,51,8,53,260,2007.211538,2007,"$2,000-$2,999 ($104,000-$155,999)"
Batemans Bay,0,0,3,5,5,4,13,21,11,17,18,7,0,0,104,1396.875,1396,"$1,250-$1,499 ($65,000-$77,999)"
Batemans Bay - South,0,0,3,0,0,11,23,24,33,22,29,23,9,16,193,1755.051813,1755,"$1,750-$1,999 ($91,000-$103,999)"
Bega - Tathra,0,4,0,8,8,8,24,36,52,35,30,48,9,32,294,1740.221088,1740,"$1,500-$1,749 ($78,000-$90,999)"
Bega-Eden Hinterland,0,0,3,0,9,11,19,31,25,15,20,24,0,0,157,1400.796178,1400,"$1,250-$1,499 ($65,000-$77,999)"
Broulee - Tomakin,0,0,0,0,0,0,11,15,14,23,13,18,5,18,117,1956.410256,1956,"$1,750-$1,999 ($91,000-$103,999)"
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
