INCP ICT Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Floor,Return Val
Braidwood,0,3,0,0,0,6,0,0,0,0,0,8,5,6,28,2045.535714,2045,"$2,000-$2,999 ($104,000-$155,999)"
Karabar,0,0,0,0,5,0,0,4,7,11,17,35,12,24,115,2313.043478,2313,"$2,000-$2,999 ($104,000-$155,999)"
Queanbeyan,0,0,0,0,0,0,6,7,22,26,26,64,9,22,182,2071.565934,2071,"$2,000-$2,999 ($104,000-$155,999)"
Queanbeyan - East,0,0,0,0,0,0,0,0,6,20,7,27,9,22,91,2364.010989,2364,"$2,000-$2,999 ($104,000-$155,999)"
Queanbeyan West - Jerrabomberra,0,0,0,0,0,0,0,5,16,20,28,83,24,82,258,2522.286822,2522,"$2,000-$2,999 ($104,000-$155,999)"
Googong,0,0,0,0,0,0,0,0,13,26,18,74,20,58,209,2449.162679,2449,"$2,000-$2,999 ($104,000-$155,999)"
Queanbeyan Surrounds,0,0,0,0,9,3,4,5,7,15,17,106,39,104,309,2532.605178,2532,"$2,000-$2,999 ($104,000-$155,999)"
Bombala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooma,0,0,0,4,0,0,0,0,3,3,3,12,3,0,28,1805.357143,1805,"$1,750-$1,999 ($91,000-$103,999)"
Cooma Surrounds,0,0,0,0,0,0,0,0,0,5,3,6,0,0,14,1919.642857,1919,"$1,750-$1,999 ($91,000-$103,999)"
Jindabyne - Berridale,0,0,0,0,3,3,3,4,10,9,7,22,13,24,98,2290.561224,2290,"$2,000-$2,999 ($104,000-$155,999)"
Batemans Bay,0,0,0,0,0,0,0,0,0,7,0,0,0,4,11,2306.818182,2306,"$2,000-$2,999 ($104,000-$155,999)"
Batemans Bay - South,0,0,0,0,0,0,0,0,0,4,0,6,0,3,13,2173.076923,2173,"$2,000-$2,999 ($104,000-$155,999)"
Bega - Tathra,0,0,0,0,0,0,3,5,3,0,0,7,0,0,18,1420.833333,1420,"$1,250-$1,499 ($65,000-$77,999)"
Bega-Eden Hinterland,0,0,0,0,4,0,0,0,5,3,4,4,0,0,20,1577.5,1577,"$1,500-$1,749 ($78,000-$90,999)"
Broulee - Tomakin,0,0,0,0,0,0,0,0,0,4,0,3,3,0,10,2187.5,2187,"$2,000-$2,999 ($104,000-$155,999)"
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurobodalla Hinterland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merimbula - Tura Beach,0,0,0,0,0,0,0,0,0,0,6,8,0,5,19,2500,2500,"$2,000-$2,999 ($104,000-$155,999)"
Moruya - Tuross Head,0,0,0,3,0,0,0,0,4,0,0,4,0,4,15,1890,1890,"$1,750-$1,999 ($91,000-$103,999)"
Narooma - Bermagui,0,0,0,0,0,0,0,3,3,4,3,7,3,4,27,2162.037037,2162,"$2,000-$2,999 ($104,000-$155,999)"
Goulburn,0,0,0,0,0,0,0,3,4,9,7,21,4,12,60,2256.25,2256,"$2,000-$2,999 ($104,000-$155,999)"
Goulburn Surrounds,0,0,0,0,0,0,0,5,8,0,10,13,0,9,45,2166.666667,2166,"$2,000-$2,999 ($104,000-$155,999)"
Yass,0,0,0,0,0,0,0,0,5,13,3,24,10,10,65,2276.923077,2276,"$2,000-$2,999 ($104,000-$155,999)"
