"INCP Legal, Social and Welfare Professionals Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Braidwood,0,0,0,0,0,0,0,0,4,5,0,7,0,3,19,1960.526316,1960,"$1,750-$1,999 ($91,000-$103,999)"
Karabar,0,0,4,0,0,0,3,5,10,12,4,15,5,4,62,1795.967742,1795,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan,0,0,4,0,0,4,0,12,14,15,10,23,4,5,91,1758.791209,1758,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan - East,0,0,0,0,0,5,10,7,5,6,10,9,0,3,55,1627.272727,1627,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan West - Jerrabomberra,0,0,0,5,5,6,6,13,9,14,13,35,8,16,130,1882.692308,1882,"$1,750-$1,999 ($91,000-$103,999)"
Googong,0,0,0,0,4,0,0,3,4,9,6,16,5,0,47,1852.12766,1852,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan Surrounds,0,0,0,3,6,9,9,9,13,24,17,42,13,36,181,2076.933702,2076,"$2,000-$2,999 ($104,000-$155,999)"
Bombala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooma,0,0,0,0,0,3,7,6,3,9,7,11,0,0,46,1567.391304,1567,"$1,500-$1,749 ($78,000-$90,999)"
Cooma Surrounds,0,0,0,0,0,0,0,0,0,5,0,0,0,3,8,2328.125,2328,"$2,000-$2,999 ($104,000-$155,999)"
Jindabyne - Berridale,0,0,3,0,3,0,7,15,12,13,5,26,5,33,122,2103.07377,2103,"$2,000-$2,999 ($104,000-$155,999)"
Batemans Bay,0,0,0,0,4,4,4,7,18,8,4,7,0,3,59,1492.372881,1492,"$1,250-$1,499 ($65,000-$77,999)"
Batemans Bay - South,0,0,0,0,6,7,7,11,13,10,4,4,0,5,67,1437.686567,1437,"$1,250-$1,499 ($65,000-$77,999)"
Bega - Tathra,0,0,4,3,0,5,4,7,18,12,4,11,0,0,68,1363.602941,1363,"$1,250-$1,499 ($65,000-$77,999)"
Bega-Eden Hinterland,0,4,0,0,4,6,3,8,10,4,4,3,0,3,49,1339.285714,1339,"$1,250-$1,499 ($65,000-$77,999)"
Broulee - Tomakin,0,0,0,0,0,0,3,0,12,5,5,8,0,0,33,1661.363636,1661,"$1,500-$1,749 ($78,000-$90,999)"
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurobodalla Hinterland,0,0,0,0,0,0,0,5,5,0,3,4,0,3,20,1900,1900,"$1,750-$1,999 ($91,000-$103,999)"
Merimbula - Tura Beach,0,0,0,3,3,5,12,15,11,5,11,10,0,4,79,1492.088608,1492,"$1,250-$1,499 ($65,000-$77,999)"
Moruya - Tuross Head,0,0,9,3,6,4,9,9,15,7,9,8,3,9,91,1536.538462,1536,"$1,500-$1,749 ($78,000-$90,999)"
Narooma - Bermagui,0,0,7,0,0,3,11,10,11,6,5,4,0,0,57,1239.473684,1239,"$1,000-$1,249 ($52,000-$64,999)"
Goulburn,0,0,3,4,7,7,10,25,39,28,21,19,3,5,171,1541.374269,1541,"$1,500-$1,749 ($78,000-$90,999)"
Goulburn Surrounds,4,0,3,0,0,4,4,16,8,9,12,8,6,14,88,1874.715909,1874,"$1,750-$1,999 ($91,000-$103,999)"
Yass,0,0,0,0,0,0,3,3,3,6,6,9,0,3,33,1888.636364,1888,"$1,750-$1,999 ($91,000-$103,999)"
Yass Surrounds,0,0,0,0,3,0,5,5,12,9,18,29,7,22,110,2200.909091,2200,"$2,000-$2,999 ($104,000-$155,999)"
Young,0,5,0,3,0,0,4,11,6,12,6,5,0,0,52,1357.211538,1357,"$1,250-$1,499 ($65,000-$77,999)"
Young Surrounds,0,0,0,0,0,3,3,0,5,3,0,9,0,0,23,1456.521739,1456,"$1,250-$1,499 ($65,000-$77,999)"
Avoca Beach - Copacabana,0,0,0,3,12,0,3,14,11,12,16,18,4,15,108,1857.175926,1857,"$1,750-$1,999 ($91,000-$103,999)"
Box Head - MacMasters Beach,0,0,0,0,9,4,6,10,10,14,21,24,8,29,135,2120.185185,2120,"$2,000-$2,999 ($104,000-$155,999)"
Calga - Kulnura,0,0,4,0,0,7,3,6,0,9,0,5,5,6,45,1715,1715,"$1,500-$1,749 ($78,000-$90,999)"
Erina - Green Point,0,0,3,4,5,8,8,11,16,12,24,15,0,9,115,1671.521739,1671,"$1,500-$1,749 ($78,000-$90,999)"
Gosford - Springfield,0,0,4,0,8,10,14,25,29,31,19,25,6,7,178,1587.640449,1587,"$1,500-$1,749 ($78,000-$90,999)"
Kariong,0,0,3,0,0,5,4,3,4,5,5,14,0,3,46,1620.108696,1620,"$1,500-$1,749 ($78,000-$90,999)"
Kincumber - Picketts Valley,0,0,5,0,4,4,3,7,7,14,10,8,0,3,65,1544.615385,1544,"$1,500-$1,749 ($78,000-$90,999)"
