INCP Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Braidwood,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,225,225,"$150-$299 ($7,800-$15,599)"
Karabar,0,0,0,0,0,0,0,5,0,7,3,5,0,0,20,1693.75,1693,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan,0,0,0,0,5,0,0,4,0,4,7,7,0,5,32,1937.5,1937,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan - East,0,0,0,0,0,0,4,0,8,5,3,4,0,0,24,1571.875,1571,"$1,500-$1,749 ($78,000-$90,999)"
Queanbeyan West - Jerrabomberra,0,0,0,0,0,0,4,0,6,10,6,6,4,0,36,1870.833333,1870,"$1,750-$1,999 ($91,000-$103,999)"
Googong,0,0,0,0,0,0,0,0,0,5,4,3,0,0,12,1979.166667,1979,"$1,750-$1,999 ($91,000-$103,999)"
Queanbeyan Surrounds,0,0,0,0,5,3,0,0,6,4,10,9,7,4,48,2050.520833,2050,"$2,000-$2,999 ($104,000-$155,999)"
Bombala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooma Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jindabyne - Berridale,0,0,0,4,0,0,0,4,0,5,5,0,0,0,18,1495.833333,1495,"$1,250-$1,499 ($65,000-$77,999)"
Batemans Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Batemans Bay - South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bega - Tathra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bega-Eden Hinterland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broulee - Tomakin,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eurobodalla Hinterland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merimbula - Tura Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moruya - Tuross Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Narooma - Bermagui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goulburn,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1125,1125,"$1,000-$1,249 ($52,000-$64,999)"
Goulburn Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3500,3500,"$3,500 or more ($182,000 or more)"
Yass,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2500,2500,"$2,000-$2,999 ($104,000-$155,999)"
Yass Surrounds,0,0,0,0,0,0,0,6,0,9,8,11,5,8,47,2260.638298,2260,"$2,000-$2,999 ($104,000-$155,999)"
Young,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,225,225,"$150-$299 ($7,800-$15,599)"
Young Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avoca Beach - Copacabana,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,2687.5,2687,"$2,000-$2,999 ($104,000-$155,999)"
Box Head - MacMasters Beach,0,0,0,0,0,0,5,0,0,3,0,3,0,3,14,1821.428571,1821,"$1,750-$1,999 ($91,000-$103,999)"
Calga - Kulnura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erina - Green Point,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Gosford - Springfield,0,0,0,0,0,0,0,5,4,9,0,6,0,0,24,1541.666667,1541,"$1,500-$1,749 ($78,000-$90,999)"
Kariong,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,350,350,"$300-$399 ($15,600-$20,799)"
Kincumber - Picketts Valley,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Narara,0,0,0,0,0,0,0,0,4,0,0,4,0,0,8,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Niagara Park - Lisarow,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Point Clare - Koolewong,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,2500,2500,"$2,000-$2,999 ($104,000-$155,999)"
Saratoga - Davistown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrigal - North Avoca,0,0,0,0,0,4,0,6,5,0,0,4,0,4,23,1653.26087,1653,"$1,500-$1,749 ($78,000-$90,999)"
Umina - Booker Bay - Patonga,0,3,0,0,4,4,5,0,0,0,3,3,3,0,25,1330,1330,"$1,250-$1,499 ($65,000-$77,999)"
Wamberal - Forresters Beach,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Woy Woy - Blackwall,0,0,0,0,3,0,0,0,0,3,6,4,0,0,16,1818.75,1818,"$1,750-$1,999 ($91,000-$103,999)"
