INCP Total Personal Income (weekly) / SA2,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$2,000-$2,999 ($104,000-$155,999)","$1,750-$1,999 ($91,000-$103,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Averange
Braidwood,129,185,320,320,281,265,286,320,224,200,287,151,59,109,3136,1111.375957
Karabar,169,290,419,478,407,434,539,686,577,589,612,396,98,126,5820,1207.508591
Queanbeyan,186,282,571,715,595,695,893,1080,879,742,941,550,116,185,8430,1220.204626
Queanbeyan - East,107,125,196,245,202,263,416,514,399,397,450,297,72,118,3801,1314.680347
Queanbeyan West - Jerrabomberra,365,351,364,400,431,451,606,805,791,873,1643,707,387,692,8866,1585.686894
Googong,85,104,79,100,117,139,215,348,367,492,914,483,183,237,3863,1753.682371
Queanbeyan Surrounds,433,464,484,594,673,654,874,1120,1019,1078,1911,850,435,825,11414,1516.267303
Bombala,54,92,191,188,170,194,170,169,142,124,91,83,9,37,1714,989.7024504
Cooma,159,242,456,516,454,436,501,493,381,294,391,229,97,126,4775,1090.17801
Cooma Surrounds,87,138,237,243,202,193,209,248,214,163,220,147,65,99,2465,1174.665314
Jindabyne - Berridale,309,325,512,589,821,1070,1134,1090,743,685,854,564,221,620,9537,1284.547027
Batemans Bay,205,443,885,798,742,648,641,614,397,272,243,172,53,78,6191,857.8783718
Batemans Bay - South,280,424,846,831,738,648,719,660,423,336,330,264,86,133,6718,932.24546
Bega - Tathra,270,387,649,699,688,647,667,740,486,350,352,239,53,115,6342,959.6933144
Bega-Eden Hinterland,312,472,880,891,759,671,683,657,428,317,297,226,57,74,6724,866.9541939
Broulee - Tomakin,131,152,302,302,275,275,286,307,241,186,176,124,45,89,2891,1041.0844
Deua - Wadbilliga,0,0,6,6,0,0,0,0,4,0,0,0,0,0,16,643.75
Eden,94,181,352,336,281,261,256,231,142,95,89,70,18,18,2424,820.1835809
Eurobodalla Hinterland,113,184,312,290,255,261,271,276,181,118,110,91,18,58,2538,917.0902285
Merimbula - Tura Beach,351,476,1033,1015,1007,862,901,998,573,507,500,346,77,176,8822,959.657674
Moruya - Tuross Head,248,397,902,853,757,621,641,684,406,321,263,183,49,96,6421,874.4938483
Narooma - Bermagui,320,510,985,1177,932,786,734,674,406,341,280,200,54,110,7509,837.0788387
Goulburn,600,977,1670,1943,1696,1588,1833,1923,1392,1142,1267,799,168,251,17249,1015.892226
Goulburn Surrounds,426,533,922,989,835,845,894,1025,667,651,701,456,162,321,9427,1082.274318
Yass,191,243,338,411,380,415,450,528,378,424,488,294,90,85,4715,1158.138918
Yass Surrounds,386,420,487,463,554,547,668,876,677,765,1263,675,312,575,8668,1433.744808
Young,263,466,838,952,721,756,865,808,482,359,333,245,68,108,7264,913.1952093
Young Surrounds,178,319,653,707,493,481,522,532,346,304,269,182,64,120,5170,956.2524178
Avoca Beach - Copacabana,292,275,360,346,489,422,467,493,411,367,596,323,144,396,5381,1308.056123
Box Head - MacMasters Beach,312,417,724,777,842,676,683,676,623,522,803,446,187,447,8135,1203.515673
Calga - Kulnura,131,185,292,311,354,254,348,348,230,231,260,159,64,141,3308,1126.73821
Erina - Green Point,482,606,1078,1117,1174,898,823,865,717,588,787,493,228,465,10321,1094.285922
Gosford - Springfield,499,786,1342,1523,1519,1423,1575,1798,1297,1036,1199,833,272,367,15469,1093.116879
Kariong,201,250,325,335,335,425,443,523,339,358,431,252,82,85,4384,1137.20917
Kincumber - Picketts Valley,183,337,551,629,612,497,469,518,360,316,415,237,71,123,5318,1021.840918
Narara,219,270,420,417,431,428,531,536,443,351,458,289,79,83,4955,1102.820383
Niagara Park - Lisarow,252,330,463,517,505,486,553,572,498,390,541,317,100,144,5668,1123.173959
Point Clare - Koolewong,233,270,453,436,403,407,408,434,316,331,446,263,92,150,4642,1124.456053
Saratoga - Davistown,244,265,464,500,489,448,448,559,402,319,474,279,112,127,5130,1109.381092
Terrigal - North Avoca,429,475,739,678,918,902,919,1056,855,710,1179,637,305,734,10536,1322.247532
Umina - Booker Bay - Patonga,660,1014,1913,2101,2018,1683,1623,1611,1194,969,1261,748,292,536,17623,1029.485615
Wamberal - Forresters Beach,331,369,582,578,622,629,656,726,552,520,797,443,210,433,7448,1264.446831
Woy Woy - Blackwall,369,618,1233,1545,1097,941,940,998,708,563,688,393,152,225,10470,974.4054441
Wyoming,284,492,853,901,791,714,774,841,658,444,494,362,94,105,7807,981.7087229
Bateau Bay - Killarney Vale,566,808,1539,1890,1723,1452,1548,1676,1219,995,1028,777,159,204,15584,993.7211242
Blue Haven - San Remo,244,436,861,864,742,749,919,934,633,400,311,276,47,28,7444,902.7673294
Budgewoi - Buff Point - Halekulani,229,391,894,869,854,677,675,734,427,384,369,252,57,70,6882,909.7064807
Chittaway Bay - Tumbi Umbi,424,604,973,1069,1118,1052,1166,1283,971,820,802,562,151,238,11233,1062.73925
Gorokan - Kanwal - Charmhaven,477,984,1953,2074,1686,1503,1640,1689,1094,772,590,520,105,101,15188,869.9483145
Jilliby - Yarramalong,118,142,229,182,196,182,205,227,214,179,240,131,64,138,2447,1229.720065
