2-digit level OCCP Occupation,"Professionals, nfd",Arts and Media Professionals,"Business, Human Resource and Marketing Professionals","Design, Engineering, Science and Transport Professionals",Education Professionals,Health Professionals,ICT Professionals,"Legal, Social and Welfare Professionals",Total
Braidwood,10,39,87,57,85,54,28,24,384
Karabar,16,15,229,60,113,91,112,69,705
Queanbeyan,33,37,339,139,204,207,184,92,1235
Queanbeyan - East,18,9,171,70,95,98,114,52,627
Queanbeyan West - Jerrabomberra,43,37,615,168,292,228,266,119,1768
Googong,13,11,303,88,121,194,203,49,982
Queanbeyan Surrounds,52,56,548,263,364,283,314,184,2064
Bombala,0,6,15,20,45,36,4,0,126
Cooma,4,10,96,148,111,121,39,40,569
Cooma Surrounds,5,10,47,66,43,43,23,20,257
Jindabyne - Berridale,20,68,319,220,249,278,88,125,1367
Batemans Bay,0,8,59,51,89,102,11,58,378
Batemans Bay - South,3,14,101,70,153,196,13,61,611
Bega - Tathra,5,41,95,86,197,293,18,77,812
Bega-Eden Hinterland,10,36,84,104,182,168,31,50,665
Broulee - Tomakin,10,9,64,30,119,117,14,44,407
Deua - Wadbilliga,0,0,0,0,0,0,0,0,0
Eden,0,5,27,21,40,32,8,12,145
Eurobodalla Hinterland,0,3,33,33,57,59,0,15,200
Merimbula - Tura Beach,6,37,157,84,250,293,22,80,929
Moruya - Tuross Head,5,25,86,79,148,164,23,76,606
Narooma - Bermagui,6,29,91,82,166,135,26,69,604
Goulburn,10,32,285,146,452,535,72,168,1700
Goulburn Surrounds,10,30,186,113,229,201,42,86,897
Yass,11,16,146,73,160,104,58,47,615
Yass Surrounds,46,61,433,190,270,180,199,115,1494
Young,3,10,124,58,217,152,0,57,621
Young Surrounds,0,5,69,55,131,94,3,33,390
Avoca Beach - Copacabana,12,55,251,124,293,272,45,124,1176
Box Head - MacMasters Beach,16,87,296,166,282,267,83,139,1336
Calga - Kulnura,4,22,84,76,66,73,26,42,393
Erina - Green Point,7,44,338,155,307,452,117,121,1541
Gosford - Springfield,32,111,524,304,460,854,224,184,2693
Kariong,3,28,146,62,110,159,74,56,638
Kincumber - Picketts Valley,5,17,112,77,150,189,30,65,645
Narara,8,26,171,72,144,227,94,80,822
Niagara Park - Lisarow,10,31,221,91,196,225,87,61,922
Point Clare - Koolewong,10,32,196,125,137,181,94,64,839
Saratoga - Davistown,3,28,160,86,184,169,44,62,736
Terrigal - North Avoca,19,63,494,189,487,635,97,191,2175
Umina - Booker Bay - Patonga,31,126,512,224,409,381,190,160,2033
Wamberal - Forresters Beach,7,43,300,125,330,402,66,129,1402
Woy Woy - Blackwall,22,68,327,122,208,214,127,86,1174
Wyoming,8,37,186,90,191,292,122,65,991
Bateau Bay - Killarney Vale,6,59,343,156,589,444,63,158,1818
Blue Haven - San Remo,3,7,86,28,111,136,32,46,449
Budgewoi - Buff Point - Halekulani,9,20,91,56,169,167,16,46,574
Chittaway Bay - Tumbi Umbi,8,28,282,133,361,341,73,125,1351
Gorokan - Kanwal - Charmhaven,10,31,217,85,280,309,69,103,1104
Jilliby - Yarramalong,3,5,79,42,105,68,17,22,341
Lake Munmorah - Mannering Park,0,16,85,41,126,155,27,35,485
Ourimbah - Fountaindale,9,21,96,60,140,150,42,45,563
Summerland Point - Gwandalan,5,5,78,30,71,95,20,34,338
The Entrance,4,29,229,118,335,300,54,110,1179
Toukley - Norah Head,0,16,115,64,178,177,16,56,622
Tuggerah - Kangy Angy,3,14,105,45,120,112,48,40,487
Warnervale - Wadalba,8,42,349,106,331,571,120,116,1643
Wyong,3,17,105,52,93,127,45,51,493
Bathurst - East,6,15,188,89,306,244,28,95,971
Bathurst Surrounds,12,26,117,83,172,140,19,64,633
