RAID Rent Affordability Indicator,Households where rent payments are less than or equal to 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Households where rent payments are more than 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to be determined,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,
RNTRD Rent (weekly) Ranges,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
Braidwood,3,0,10,5,16,3,4,3,3,9,14,8,14,8,16,4,15,0,10,0,4,0,5,0,0,0,0,0,0,0,0,0,0,10,3,6,4,0,3,9,8,8,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2518,3,0,10,5,20,3,13,6,15,16,24,11,22,15,23,11,23,0,12,0,4,0,5,0,0,15,2518
Karabar,6,3,46,14,22,17,30,16,37,11,37,19,34,18,50,20,40,26,27,3,38,14,0,0,0,0,0,0,6,9,9,10,16,17,15,19,11,10,8,19,12,13,10,20,11,10,5,20,0,0,3,0,0,0,0,0,4,0,3,0,5,0,7,0,4,4,5,0,4,4,0,6,4,0,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2556,10,12,58,21,37,39,56,35,59,22,45,27,54,30,65,35,65,44,35,9,62,19,5,4,0,43,2556
Queanbeyan,5,7,51,8,33,32,79,76,143,86,174,84,120,68,94,59,92,44,76,12,71,15,0,0,0,0,0,0,12,15,6,11,31,50,37,45,39,45,22,69,19,40,16,36,16,37,4,23,3,0,0,4,0,0,0,0,4,0,0,0,0,0,6,5,3,7,7,0,5,3,3,5,5,4,8,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,3,3564,6,22,66,14,46,65,130,118,196,120,229,113,195,88,140,77,130,58,117,20,103,20,11,0,5,51,3564
Queanbeyan - East,7,9,14,11,11,10,54,39,107,30,70,37,52,22,42,16,46,20,26,14,27,13,5,0,0,0,0,0,0,0,5,14,15,28,21,17,21,21,19,25,6,19,6,8,4,8,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,4,4,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1579,7,9,19,11,29,28,77,66,134,53,100,54,77,32,68,24,61,25,36,18,36,10,3,6,0,28,1579
Queanbeyan West - Jerrabomberra,0,3,10,4,11,6,19,10,40,15,51,26,77,33,45,18,45,24,44,19,91,74,26,9,3,0,0,0,0,3,3,4,0,9,0,7,7,14,7,7,7,15,10,14,16,14,0,32,19,5,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9,0,3,4,3,0,4,0,8,0,7,5,5,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,3621,0,3,18,12,18,13,27,14,46,31,69,27,94,44,57,31,69,39,65,21,130,101,38,11,7,43,3621
Googong,0,0,0,0,0,0,0,0,23,3,36,14,38,15,11,4,8,3,5,3,34,68,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,6,18,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,0,0,0,0,0,0,0,0,28,4,37,14,48,18,11,3,12,3,7,3,47,92,55,0,0,7,1696
Queanbeyan Surrounds,5,5,12,0,5,0,6,3,20,3,35,6,22,16,25,8,26,16,34,4,47,41,16,8,0,0,0,0,0,0,0,3,0,5,0,7,0,5,0,9,0,9,7,5,3,15,0,17,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,3,0,3,4,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,5570,5,5,15,0,6,0,16,3,22,10,40,7,31,17,33,16,35,21,53,10,68,55,25,9,0,27,5570
Bombala,3,11,9,4,18,18,12,14,19,7,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,3,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1216,13,10,10,8,21,19,17,19,24,11,9,6,5,0,0,0,0,0,0,0,0,0,0,0,0,15,1216
Cooma,4,5,9,15,23,23,30,15,46,35,57,18,28,29,31,9,20,7,9,3,11,3,3,0,0,0,0,0,4,5,8,14,35,24,14,48,26,39,15,11,7,15,8,4,0,3,0,0,8,0,0,4,0,0,0,0,0,0,0,0,4,3,0,4,7,4,3,0,6,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,3,0,0,0,6,0,0,0,0,33,2539,5,10,15,20,36,55,56,31,96,58,102,38,47,33,44,10,23,7,20,0,14,8,4,0,6,93,2539
Cooma Surrounds,4,0,5,0,6,0,3,3,10,7,8,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,1734,4,0,5,0,5,0,7,11,15,7,20,3,8,3,9,0,4,0,0,0,0,10,3,0,6,43,1734
Jindabyne - Berridale,0,3,13,0,12,7,29,27,50,13,28,19,39,15,45,13,29,10,21,4,35,14,6,3,11,0,0,0,0,3,0,5,4,15,6,19,13,18,4,16,3,9,3,10,9,11,0,13,12,13,4,56,0,0,0,0,0,0,0,3,0,0,0,0,6,3,4,0,5,0,0,0,6,4,3,0,0,0,13,40,0,4,0,4,0,0,5,3,13,11,0,6,0,4,0,8,3,0,4,11,4,9,9,20,8,129,59,4086,12,5,19,8,19,20,42,43,81,27,65,25,62,26,70,23,39,19,53,10,60,39,36,17,204,101,4086
Batemans Bay,4,5,32,8,21,11,26,13,42,25,45,21,43,31,60,32,36,10,13,4,11,0,0,0,0,0,0,0,3,9,10,10,27,22,16,51,36,49,19,51,27,30,21,22,8,10,5,14,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,4,6,0,8,5,9,0,0,3,3,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,4,0,0,4,0,0,0,4,18,3778,5,7,42,24,30,43,51,32,92,64,106,43,110,60,103,48,62,27,38,4,31,3,7,0,7,62,3778
Batemans Bay - South,5,0,12,0,12,9,12,11,34,19,39,29,47,40,61,29,37,16,22,0,15,3,0,0,0,0,0,0,0,0,0,4,8,18,8,44,35,63,15,65,17,44,5,22,6,13,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,6,9,10,11,4,0,3,4,0,3,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,5,3,0,0,8,20,4880,5,0,14,7,19,16,34,28,88,54,98,47,117,67,119,40,56,25,42,3,30,6,8,0,9,51,4880
Bega - Tathra,10,6,44,14,15,4,35,18,40,16,56,36,80,36,56,11,27,3,8,0,5,0,0,0,0,0,0,3,0,16,0,13,16,31,20,31,21,41,21,54,19,19,4,3,0,5,3,4,0,0,0,0,0,0,0,0,6,0,0,0,4,0,6,0,3,0,4,3,5,0,4,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,3318,13,6,72,17,33,20,69,42,71,37,98,57,141,60,81,17,38,8,14,4,12,0,0,0,4,40,3318
